CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Status
347736,REG_ANS_347736,1,2025,329151844,62,OK
418919,REG_ANS_418919,3,2025,326941061,06,OK
347736,REG_ANS_347736,2,2025,313405223,46,OK
418919,REG_ANS_418919,1,2025,342919474,86,OK
418919,REG_ANS_418919,2,2025,348171604,86,OK
320251,REG_ANS_320251,1,2025,1765744996,88,OK
361593,REG_ANS_361593,1,2025,109967302,24,OK
357669,REG_ANS_357669,2,2025,136644492,46,OK
357669,REG_ANS_357669,1,2025,128127532,82,OK
361593,REG_ANS_361593,3,2025,130667593,10,OK
320251,REG_ANS_320251,3,2025,1817365063,30,OK
361593,REG_ANS_361593,2,2025,123719562,64,OK
320251,REG_ANS_320251,2,2025,1681480695,00,OK
417491,REG_ANS_417491,1,2025,99666876,48,OK
417491,REG_ANS_417491,2,2025,141104344,12,OK
417491,REG_ANS_417491,3,2025,429513819,46,OK
357669,REG_ANS_357669,3,2025,166366616,78,OK
368555,REG_ANS_368555,1,2025,317037790,02,OK
419028,REG_ANS_419028,2,2025,30506842,70,OK
419028,REG_ANS_419028,1,2025,31053112,90,OK
368555,REG_ANS_368555,2,2025,243580875,62,OK
419028,REG_ANS_419028,3,2025,29215254,22,OK
347736,REG_ANS_347736,3,2025,310969462,60,OK
368555,REG_ANS_368555,3,2025,223207804,42,OK
337561,REG_ANS_337561,1,2025,134473611,24,OK
337561,REG_ANS_337561,3,2025,131922378,90,OK
337561,REG_ANS_337561,2,2025,139982483,70,OK
410128,REG_ANS_410128,1,2025,206423127,34,OK
410128,REG_ANS_410128,2,2025,251785545,12,OK
410128,REG_ANS_410128,3,2025,215507408,34,OK
424366,REG_ANS_424366,3,2025,3434503,70,OK
424366,REG_ANS_424366,2,2025,661241,12,OK
361011,REG_ANS_361011,1,2025,4343536853,34,OK
361011,REG_ANS_361011,2,2025,4038210824,76,OK
361011,REG_ANS_361011,3,2025,3981714305,08,OK
318213,REG_ANS_318213,3,2025,635203317,32,OK
318213,REG_ANS_318213,1,2025,700281027,02,OK
318213,REG_ANS_318213,2,2025,714495109,02,OK
418196,REG_ANS_418196,1,2025,359029,00,OK
418196,REG_ANS_418196,2,2025,334331,04,OK
418196,REG_ANS_418196,3,2025,299096,16,OK
403962,REG_ANS_403962,3,2025,495612452,98,OK
403962,REG_ANS_403962,2,2025,826723581,32,OK
403962,REG_ANS_403962,1,2025,506557906,12,OK
408263,REG_ANS_408263,3,2025,51107361,68,OK
408263,REG_ANS_408263,2,2025,51458506,96,OK
343129,REG_ANS_343129,2,2025,144568698,44,OK
343129,REG_ANS_343129,1,2025,146151998,78,OK
343129,REG_ANS_343129,3,2025,165286611,84,OK
422321,REG_ANS_422321,3,2025,428615104,58,OK
422321,REG_ANS_422321,1,2025,383921094,60,OK
422321,REG_ANS_422321,2,2025,383714439,58,OK
423661,REG_ANS_423661,3,2025,1178881749,14,OK
422126,REG_ANS_422126,1,2025,164258002,20,OK
314315,REG_ANS_314315,3,2025,166924574,96,OK
314315,REG_ANS_314315,2,2025,149018317,64,OK
314315,REG_ANS_314315,1,2025,136598895,46,OK
422126,REG_ANS_422126,3,2025,165156507,50,OK
422126,REG_ANS_422126,2,2025,152249848,32,OK
423661,REG_ANS_423661,2,2025,475042782,66,OK
423661,REG_ANS_423661,1,2025,478816250,00,OK
337668,REG_ANS_337668,2,2025,3168812834,30,OK
419443,REG_ANS_419443,1,2025,221983670,00,OK
337668,REG_ANS_337668,3,2025,3177858315,66,OK
337668,REG_ANS_337668,1,2025,3255083724,26,OK
408263,REG_ANS_408263,1,2025,45272273,90,OK
419443,REG_ANS_419443,2,2025,195725228,52,OK
419443,REG_ANS_419443,3,2025,308895532,30,OK
328031,REG_ANS_328031,3,2025,52301351,06,OK
328031,REG_ANS_328031,2,2025,290708810,98,OK
328031,REG_ANS_328031,1,2025,357009368,98,OK
337374,REG_ANS_337374,2,2025,2095207445,02,OK
337374,REG_ANS_337374,3,2025,1967072096,60,OK
337374,REG_ANS_337374,1,2025,2066579798,32,OK
423441,REG_ANS_423441,3,2025,89752187,66,OK
423441,REG_ANS_423441,2,2025,52987669,74,OK
307319,REG_ANS_307319,1,2025,2597784031,16,OK
307319,REG_ANS_307319,2,2025,2452327825,14,OK
307319,REG_ANS_307319,3,2025,2601795426,20,OK
368253,REG_ANS_368253,2,2025,102464774320,60,OK
368253,REG_ANS_368253,3,2025,110258371268,66,OK
421731,REG_ANS_421731,3,2025,1607424297,54,OK
421731,REG_ANS_421731,2,2025,1063741556,34,OK
421731,REG_ANS_421731,1,2025,859761262,56,OK
368253,REG_ANS_368253,1,2025,86793392796,44,OK
349682,REG_ANS_349682,3,2025,2389377561,22,OK
349682,REG_ANS_349682,2,2025,2311309720,14,OK
343731,REG_ANS_343731,3,2025,7367730673,04,OK
349682,REG_ANS_349682,1,2025,2690418294,48,OK
343731,REG_ANS_343731,2,2025,6779391733,14,OK
411248,REG_ANS_411248,3,2025,55421613,92,OK
411248,REG_ANS_411248,2,2025,32773995,32,OK
411248,REG_ANS_411248,1,2025,39468398,94,OK
424561,REG_ANS_424561,3,2025,35494226,72,OK
343731,REG_ANS_343731,1,2025,6986974906,34,OK
421723,Operadora 421723,1,2025,21769042,94,OK
421723,Operadora 421723,3,2025,19994629,94,OK
421723,Operadora 421723,2,2025,21362770,64,OK
306100,REG_ANS_306100,3,2025,1137887121,72,OK
357260,REG_ANS_357260,2,2025,1436092796,64,OK
357260,REG_ANS_357260,3,2025,1803996894,40,OK
357260,REG_ANS_357260,1,2025,1462725918,18,OK
424501,REG_ANS_424501,3,2025,30000,00,OK
306100,REG_ANS_306100,2,2025,1099607735,92,OK
306100,REG_ANS_306100,1,2025,1035084830,96,OK
422835,REG_ANS_422835,3,2025,112672341,64,OK
422835,REG_ANS_422835,1,2025,172531141,80,OK
422835,REG_ANS_422835,2,2025,116352831,90,OK
316148,REG_ANS_316148,2,2025,1152871355,10,OK
316148,REG_ANS_316148,3,2025,1277277596,72,OK
316148,REG_ANS_316148,1,2025,1361408184,66,OK
386596,REG_ANS_386596,3,2025,863081623,34,OK
386596,REG_ANS_386596,2,2025,863231684,70,OK
386596,REG_ANS_386596,1,2025,786368283,56,OK
421006,REG_ANS_421006,1,2025,281851757,54,OK
421006,REG_ANS_421006,2,2025,255576603,86,OK
303739,REG_ANS_303739,1,2025,1086977443,14,OK
421006,REG_ANS_421006,3,2025,268350164,82,OK
303739,REG_ANS_303739,2,2025,1214782515,74,OK
303739,REG_ANS_303739,3,2025,1219259892,34,OK
380661,REG_ANS_380661,2,2025,2216118885,20,OK
380661,REG_ANS_380661,1,2025,1917169188,38,OK
380661,REG_ANS_380661,3,2025,2179299144,70,OK
401081,REG_ANS_401081,1,2025,1418148560,28,OK
401081,REG_ANS_401081,2,2025,1380526690,92,OK
324361,REG_ANS_324361,2,2025,1666081809,32,OK
324361,REG_ANS_324361,3,2025,1786434726,98,OK
418820,REG_ANS_418820,2,2025,286135760,50,OK
324361,REG_ANS_324361,1,2025,1925334614,68,OK
418820,REG_ANS_418820,3,2025,362419020,22,OK
418820,REG_ANS_418820,1,2025,267412579,44,OK
421715,REG_ANS_421715,3,2025,6651937621,02,OK
313475,REG_ANS_313475,2,2025,98373580,04,OK
421715,REG_ANS_421715,2,2025,5064244799,26,OK
360783,REG_ANS_360783,3,2025,79471581,80,OK
421715,REG_ANS_421715,1,2025,5123462025,32,OK
360783,REG_ANS_360783,2,2025,63021727,58,OK
313475,REG_ANS_313475,3,2025,159576014,26,OK
360783,REG_ANS_360783,1,2025,70065741,06,OK
313475,REG_ANS_313475,1,2025,112431131,90,OK
362832,REG_ANS_362832,3,2025,325129281,52,OK
362832,REG_ANS_362832,1,2025,326553731,04,OK
362832,REG_ANS_362832,2,2025,329284868,46,OK
421189,REG_ANS_421189,1,2025,1268465788,32,OK
337871,REG_ANS_337871,1,2025,1257528234,48,OK
421189,REG_ANS_421189,2,2025,2812686272,02,OK
421189,REG_ANS_421189,3,2025,2153618111,32,OK
421618,REG_ANS_421618,2,2025,34076342,00,OK
337871,REG_ANS_337871,3,2025,1218158237,22,OK
421618,REG_ANS_421618,1,2025,33663608,58,OK
337871,REG_ANS_337871,2,2025,1154047877,48,OK
421618,REG_ANS_421618,3,2025,38711257,10,OK
325082,REG_ANS_325082,3,2025,166588883,16,OK
368148,REG_ANS_368148,3,2025,513036570,28,OK
368148,REG_ANS_368148,1,2025,512674743,62,OK
368148,REG_ANS_368148,2,2025,470785101,20,OK
401081,REG_ANS_401081,3,2025,1482568053,44,OK
363855,REG_ANS_363855,3,2025,523652114,78,OK
363855,REG_ANS_363855,2,2025,490138805,46,OK
345776,REG_ANS_345776,3,2025,536102617,82,OK
363855,REG_ANS_363855,1,2025,487201140,12,OK
345776,REG_ANS_345776,1,2025,409294103,92,OK
322326,REG_ANS_322326,2,2025,610100182,60,OK
322326,REG_ANS_322326,1,2025,557673360,04,OK
345776,REG_ANS_345776,2,2025,430249131,88,OK
420786,REG_ANS_420786,1,2025,171664802,10,OK
325082,REG_ANS_325082,1,2025,205387298,62,OK
325082,REG_ANS_325082,2,2025,157220137,34,OK
414026,REG_ANS_414026,3,2025,39174927,24,OK
414026,REG_ANS_414026,2,2025,41151206,72,OK
414026,REG_ANS_414026,1,2025,40666519,78,OK
420166,REG_ANS_420166,1,2025,890123719,76,OK
420786,REG_ANS_420786,3,2025,196204965,14,OK
420786,REG_ANS_420786,2,2025,171600901,88,OK
420166,REG_ANS_420166,3,2025,834613780,46,OK
420166,REG_ANS_420166,2,2025,996190569,24,OK
412058,REG_ANS_412058,2,2025,339515892,80,OK
421421,REG_ANS_421421,2,2025,1802799649,38,OK
412058,REG_ANS_412058,1,2025,264747612,58,OK
421421,REG_ANS_421421,1,2025,1418540624,96,OK
322326,REG_ANS_322326,3,2025,591794885,36,OK
412058,REG_ANS_412058,3,2025,298101811,90,OK
346209,REG_ANS_346209,1,2025,785331694,84,OK
346209,REG_ANS_346209,2,2025,731913855,78,OK
346209,REG_ANS_346209,3,2025,721073953,12,OK
421421,REG_ANS_421421,3,2025,1808025251,50,OK
364860,REG_ANS_364860,3,2025,1558417331,94,OK
364860,REG_ANS_364860,2,2025,1475236208,92,OK
364860,REG_ANS_364860,1,2025,1436857617,26,OK
354295,REG_ANS_354295,3,2025,3393779849,04,OK
353060,REG_ANS_353060,1,2025,1645460620,52,OK
353060,REG_ANS_353060,3,2025,1684354813,68,OK
353060,REG_ANS_353060,2,2025,1672055770,58,OK
354295,REG_ANS_354295,2,2025,3265458510,70,OK
354295,REG_ANS_354295,1,2025,3445545562,06,OK
334511,REG_ANS_334511,1,2025,63156313,86,OK
334511,REG_ANS_334511,2,2025,127446191,44,OK
334511,REG_ANS_334511,3,2025,99641292,12,OK
354627,REG_ANS_354627,1,2025,28856907067,68,OK
354627,REG_ANS_354627,3,2025,384252094,34,OK
354627,REG_ANS_354627,2,2025,355638469,88,OK
342611,REG_ANS_342611,2,2025,1370391825,90,OK
327328,REG_ANS_327328,3,2025,22957511,70,OK
327328,REG_ANS_327328,2,2025,19189550,26,OK
342611,REG_ANS_342611,3,2025,1189872096,32,OK
389358,REG_ANS_389358,3,2025,1241910862,78,OK
327328,REG_ANS_327328,1,2025,19133724,42,OK
389358,REG_ANS_389358,2,2025,130597871,32,OK
342611,REG_ANS_342611,1,2025,1558195771,76,OK
389358,REG_ANS_389358,1,2025,224383530,56,OK
418617,REG_ANS_418617,3,2025,218408167,64,OK
418617,REG_ANS_418617,2,2025,203221980,34,OK
418617,REG_ANS_418617,1,2025,205320435,58,OK
416568,REG_ANS_416568,1,2025,942886440,70,OK
414310,REG_ANS_414310,2,2025,638670723,04,OK
416568,REG_ANS_416568,2,2025,1043452168,40,OK
414310,REG_ANS_414310,3,2025,682538428,02,OK
416568,REG_ANS_416568,3,2025,986869263,00,OK
422134,REG_ANS_422134,3,2025,21774301,00,OK
422134,REG_ANS_422134,2,2025,33272105,82,OK
414310,REG_ANS_414310,1,2025,721109595,04,OK
422134,REG_ANS_422134,1,2025,71728931,28,OK
350141,REG_ANS_350141,3,2025,10171604676,48,OK
350141,REG_ANS_350141,1,2025,9666939890,14,OK
350141,REG_ANS_350141,2,2025,9526588672,56,OK
423548,REG_ANS_423548,1,2025,92795910,66,OK
423548,REG_ANS_423548,2,2025,207257870,02,OK
344362,REG_ANS_344362,1,2025,1361064662,54,OK
420051,REG_ANS_420051,2,2025,4882696,14,OK
420051,REG_ANS_420051,1,2025,59203439,30,OK
344362,REG_ANS_344362,2,2025,1261182417,26,OK
401480,REG_ANS_401480,1,2025,182186685,82,OK
344362,REG_ANS_344362,3,2025,1242572455,54,OK
401480,REG_ANS_401480,3,2025,229023479,24,OK
401480,REG_ANS_401480,2,2025,153793471,78,OK
423548,REG_ANS_423548,3,2025,143332846,06,OK
331651,REG_ANS_331651,1,2025,691975960,14,OK
331651,REG_ANS_331651,3,2025,721341148,58,OK
331651,REG_ANS_331651,2,2025,818111606,24,OK
365785,REG_ANS_365785,2,2025,44330729,64,OK
365785,REG_ANS_365785,1,2025,41726708,56,OK
365785,REG_ANS_365785,3,2025,41075628,62,OK
419427,REG_ANS_419427,2,2025,501003780,62,OK
419427,REG_ANS_419427,3,2025,531118070,96,OK
348244,REG_ANS_348244,1,2025,813192086,30,OK
419427,REG_ANS_419427,1,2025,539464594,52,OK
419133,REG_ANS_419133,1,2025,5282547745,98,OK
330116,REG_ANS_330116,3,2025,1574054071,16,OK
330116,REG_ANS_330116,1,2025,1540823623,92,OK
419133,REG_ANS_419133,3,2025,4520709298,80,OK
419133,REG_ANS_419133,2,2025,4711283315,40,OK
330116,REG_ANS_330116,2,2025,1700334530,06,OK
348244,REG_ANS_348244,3,2025,781735269,34,OK
348244,REG_ANS_348244,2,2025,775161785,30,OK
319121,REG_ANS_319121,3,2025,4202322430,96,OK
319121,REG_ANS_319121,2,2025,3770797437,54,OK
319121,REG_ANS_319121,1,2025,3920881661,36,OK
382281,REG_ANS_382281,3,2025,55801829,36,OK
382281,REG_ANS_382281,1,2025,35732004,34,OK
382281,REG_ANS_382281,2,2025,56276902,76,OK
312347,REG_ANS_312347,2,2025,946054217,42,OK
413283,REG_ANS_413283,2,2025,105593592,94,OK
417173,REG_ANS_417173,3,2025,5775343277,74,OK
409413,REG_ANS_409413,3,2025,80737941,28,OK
312347,REG_ANS_312347,1,2025,968476899,34,OK
409413,REG_ANS_409413,2,2025,146190016,72,OK
417173,REG_ANS_417173,2,2025,9373582875,00,OK
413283,REG_ANS_413283,3,2025,119751485,58,OK
409413,REG_ANS_409413,1,2025,113770172,62,OK
305472,REG_ANS_305472,2,2025,752240234,38,OK
305472,REG_ANS_305472,3,2025,860442129,40,OK
312347,REG_ANS_312347,3,2025,1095652380,20,OK
305472,REG_ANS_305472,1,2025,830155637,12,OK
413283,REG_ANS_413283,1,2025,110819097,22,OK
006246,REG_ANS_006246,3,2025,222420443099,36,OK
006246,REG_ANS_006246,2,2025,183640787737,50,OK
006246,REG_ANS_006246,1,2025,189928340625,56,OK
342033,REG_ANS_342033,1,2025,6148596178,10,OK
342033,REG_ANS_342033,3,2025,6118730217,16,OK
342033,REG_ANS_342033,2,2025,5570558650,60,OK
370088,REG_ANS_370088,3,2025,616878147,32,OK
300870,REG_ANS_300870,3,2025,2865122271,90,OK
417173,REG_ANS_417173,1,2025,7152499444,72,OK
300870,REG_ANS_300870,1,2025,2392359968,50,OK
300870,REG_ANS_300870,2,2025,3634403610,12,OK
330108,REG_ANS_330108,1,2025,834466461,48,OK
330108,REG_ANS_330108,2,2025,869691953,94,OK
330108,REG_ANS_330108,3,2025,914703545,28,OK
417602,REG_ANS_417602,1,2025,99823195,38,OK
417602,REG_ANS_417602,2,2025,52462971,86,OK
370088,REG_ANS_370088,1,2025,616316305,68,OK
417602,REG_ANS_417602,3,2025,59119887,04,OK
370088,REG_ANS_370088,2,2025,613607759,36,OK
419125,REG_ANS_419125,3,2025,173009,70,OK
419125,REG_ANS_419125,2,2025,257417,28,OK
419125,REG_ANS_419125,1,2025,208547,74,OK
355721,REG_ANS_355721,1,2025,5720775825,02,OK
321931,REG_ANS_321931,3,2025,1356983956,32,OK
321931,REG_ANS_321931,2,2025,1608169733,68,OK
321931,REG_ANS_321931,1,2025,1437473683,10,OK
349712,REG_ANS_349712,2,2025,2524746004,36,OK
349712,REG_ANS_349712,1,2025,2507613171,42,OK
355721,REG_ANS_355721,2,2025,5277456038,48,OK
349712,REG_ANS_349712,3,2025,2751127968,56,OK
355721,REG_ANS_355721,3,2025,5231977893,02,OK
421197,REG_ANS_421197,1,2025,541055173,38,OK
421197,REG_ANS_421197,2,2025,1033187345,90,OK
324566,REG_ANS_324566,3,2025,766560204,14,OK
324566,REG_ANS_324566,2,2025,695473696,44,OK
330281,REG_ANS_330281,2,2025,306221252,58,OK
419052,REG_ANS_419052,3,2025,379016858,30,OK
324566,REG_ANS_324566,1,2025,683033104,10,OK
419052,REG_ANS_419052,2,2025,332497732,06,OK
330281,REG_ANS_330281,3,2025,375828382,48,OK
419052,REG_ANS_419052,1,2025,326443564,44,OK
331341,REG_ANS_331341,1,2025,1836729080,74,OK
417475,REG_ANS_417475,1,2025,106022161,46,OK
330281,REG_ANS_330281,1,2025,314109315,74,OK
417475,REG_ANS_417475,2,2025,90122376,40,OK
331341,REG_ANS_331341,3,2025,1536969987,14,OK
417475,REG_ANS_417475,3,2025,71691992,36,OK
421197,REG_ANS_421197,3,2025,579331892,12,OK
331341,REG_ANS_331341,2,2025,1439572629,56,OK
420158,REG_ANS_420158,3,2025,729615484,36,OK
420158,REG_ANS_420158,2,2025,666736594,02,OK
420158,REG_ANS_420158,1,2025,670911822,50,OK
424048,REG_ANS_424048,1,2025,34210350,96,OK
424048,REG_ANS_424048,2,2025,68460703,98,OK
424048,REG_ANS_424048,3,2025,80707932,28,OK
360449,REG_ANS_360449,3,2025,9992055371,96,OK
327417,REG_ANS_327417,3,2025,1487836758,44,OK
327417,REG_ANS_327417,1,2025,2707929590,66,OK
327417,REG_ANS_327417,2,2025,1575330080,06,OK
369411,REG_ANS_369411,3,2025,1439415097,74,OK
360449,REG_ANS_360449,1,2025,8980441237,46,OK
369411,REG_ANS_369411,2,2025,1800499662,48,OK
369411,REG_ANS_369411,1,2025,1540018800,64,OK
360449,REG_ANS_360449,2,2025,8742380573,64,OK
